location,country_key,country_code,country_name,circuit_key,circuit_short_name,session_type,session_name,date_start,date_end,gmt_offset,session_key,meeting_key,year
Sakhir,36,BRN,Bahrain,63,Sakhir,Practice,Practice 1,2023-02-23T07:00:00+00:00,2023-02-23T16:30:00+00:00,03:00:00,9222,1140,2023
Sakhir,36,BRN,Bahrain,63,Sakhir,Practice,Practice 2,2023-02-24T07:00:00+00:00,2023-02-24T16:30:00+00:00,03:00:00,7763,1140,2023
Sakhir,36,BRN,Bahrain,63,Sakhir,Practice,Practice 3,2023-02-25T07:00:00+00:00,2023-02-25T16:30:00+00:00,03:00:00,7764,1140,2023
Sakhir,36,BRN,Bahrain,63,Sakhir,Practice,Practice 1,2023-03-03T11:30:00+00:00,2023-03-03T12:30:00+00:00,03:00:00,7765,1141,2023
Sakhir,36,BRN,Bahrain,63,Sakhir,Practice,Practice 2,2023-03-03T15:00:00+00:00,2023-03-03T16:00:00+00:00,03:00:00,7766,1141,2023
Sakhir,36,BRN,Bahrain,63,Sakhir,Practice,Practice 3,2023-03-04T11:30:00+00:00,2023-03-04T12:30:00+00:00,03:00:00,7767,1141,2023
Sakhir,36,BRN,Bahrain,63,Sakhir,Qualifying,Qualifying,2023-03-04T15:00:00+00:00,2023-03-04T16:00:00+00:00,03:00:00,7768,1141,2023
Sakhir,36,BRN,Bahrain,63,Sakhir,Race,Race,2023-03-05T15:00:00+00:00,2023-03-05T17:00:00+00:00,03:00:00,7953,1141,2023
Jeddah,153,KSA,Saudi Arabia,149,Jeddah,Practice,Practice 1,2023-03-17T13:30:00+00:00,2023-03-17T14:30:00+00:00,03:00:00,7772,1142,2023
Jeddah,153,KSA,Saudi Arabia,149,Jeddah,Practice,Practice 2,2023-03-17T17:00:00+00:00,2023-03-17T18:00:00+00:00,03:00:00,7773,1142,2023
Jeddah,153,KSA,Saudi Arabia,149,Jeddah,Practice,Practice 3,2023-03-18T13:30:00+00:00,2023-03-18T14:30:00+00:00,03:00:00,7774,1142,2023
Jeddah,153,KSA,Saudi Arabia,149,Jeddah,Qualifying,Qualifying,2023-03-18T17:00:00+00:00,2023-03-18T18:00:00+00:00,03:00:00,7775,1142,2023
Jeddah,153,KSA,Saudi Arabia,149,Jeddah,Race,Race,2023-03-19T17:00:00+00:00,2023-03-19T19:00:00+00:00,03:00:00,7779,1142,2023
Melbourne,5,AUS,Australia,10,Melbourne,Practice,Practice 1,2023-03-31T01:30:00+00:00,2023-03-31T02:30:00+00:00,11:00:00,7780,1143,2023
Melbourne,5,AUS,Australia,10,Melbourne,Practice,Practice 2,2023-03-31T05:00:00+00:00,2023-03-31T06:00:00+00:00,11:00:00,7781,1143,2023
Melbourne,5,AUS,Australia,10,Melbourne,Practice,Practice 3,2023-04-01T01:30:00+00:00,2023-04-01T02:30:00+00:00,11:00:00,7782,1143,2023
Melbourne,5,AUS,Australia,10,Melbourne,Qualifying,Qualifying,2023-04-01T05:00:00+00:00,2023-04-01T06:00:00+00:00,11:00:00,7783,1143,2023
